planetID,starID,L_st,R_st,T_eff_st,d,contrast,a,S,S_abs,a_eff,R_eff,has_H2O,age,EEC,has_O2
127,77,1.3269,1.06678748,6003.0638,18.951,7.755666200124161e-10,2.2545238204206624,0.2610529093127605,62.130592416437,1.9572023620138181,4.852410811698334,,5.886476288503221,0.0,
128,78,1.53004,1.10208907,6120.2578,17.053,3.6843562495327223e-10,1.1880508980950553,1.0840085080912796,257.99402492572455,0.9604696687378602,1.762418464537812,0.0,6.015534497757694,0.0,
129,78,1.53004,1.10208907,6120.2578,17.053,1.6635288009762355e-08,0.6052793267159509,4.176294373157067,993.9580608113821,0.4893329362882487,6.033428660235685,,5.163789297802588,0.0,
130,79,0.522519,0.86211707,5289.8672,17.053,4.313176158684446e-09,0.5949364783851152,1.4762533298438196,351.34829250282905,0.8230373701812763,3.0196901012987913,,6.472376039663859,0.0,
132,80,5.60977,1.48315999,7300.3659,20.858,4.4049132069809916e-11,2.8050005153652497,0.7129829834836678,169.68995006911294,1.1842964230900646,1.4387813581468094,0.0,4.894354101626837,0.0,
133,81,1.49658,1.09653413,6101.9167,16.867,8.075844696760438e-11,3.4674725983072436,0.12447262876423952,29.624485645889006,2.834412595240972,2.4082423867666267,,1.3316456482186867,0.0,
134,82,0.00973057,0.34685308,3080.8046,3.803,5.343147435852264e-10,1.4509272035708185,0.0046221819195700455,1.100079296857671,14.708774260786239,2.5920142295751525,,3.1077292403168233,0.0,
136,82,0.00973057,0.34685308,3080.8046,3.803,8.28008543263688e-10,0.7166775479259085,0.018944828713351763,4.50886923377772,7.2653185109996326,1.5938020715334984,0.0,3.169747488922162,0.0,
138,82,0.00973057,0.34685308,3080.8046,3.803,4.250196451532258e-10,0.6843336844391446,0.020777938012618968,4.9451492470033145,6.93743260081911,1.0903491732564308,0.0,2.889090753763532,0.0,
139,83,5.69242,1.48812365,7314.8781,18.047,9.224571201571462e-11,1.5736221671831787,2.2987725704035378,547.107871756042,0.6595564880025474,1.1680642644263932,0.0,3.6467061594762975,0.0,
141,84,0.907459,0.97804904,5701.3645,21.77,5.890156287817177e-11,0.7379549477486843,1.6663541769970194,396.5922941252906,0.7746692954915562,0.43770996810700313,,6.345952154354329,0.0,
145,86,4.64849,1.42078223,7116.5021,22.473,4.694961469104106e-10,2.783824684587992,0.5998299381736795,142.7595252853357,1.291177445032348,4.661772511007149,,3.391374745292982,0.0,
148,89,1.31739,1.06503172,5997.2159,16.199,2.2678940607700315e-10,2.254332356921026,0.25922594913566516,61.69577589428831,1.9640871910092172,2.6237503250622805,,2.333200245066053,0.0,
155,95,1.26322,1.05486083,5963.1335,21.988,1.1653763179172517e-10,0.9090750684365635,1.5285494686282224,363.79477353351695,0.8088355865918886,0.7584483667575374,0.0,3.0652532168098854,0.0,
156,96,0.403771,0.81278121,5107.9815,12.182,1.816499385301322e-08,0.6663520388341756,0.9093428611831768,216.42360096159607,1.0486635411020235,6.940880023008789,,1.7785233247343177,0.0,
157,96,0.403771,0.81278121,5107.9815,12.182,3.5880513892224755e-10,2.698832623728027,0.055434893924017785,13.193504753916233,4.24725552125848,3.9509220154687195,,1.9487293005499011,0.0,
158,97,2.54246,1.23774017,6556.9392,26.28,8.638259543238148e-11,5.518284719325388,0.08349220295884285,19.8711443042046,3.4608042858407515,3.9637879008980605,,8.839950343796886,0.0,
